metric_name,category,count,mean,median,std,min,max,range,cv,variability,quality_note,higher_is_better,best_value,worst_value
arecho_asr_match_error_rate,asr_wer_cer,3,0.0,0.0,0.0,0.0,0.0,0.0,inf,very_high,Very high variability - check for outliers or measurement issues,False,0.0,0.0
arecho_asvspoof_score,security,3,0.9953469982747253,0.9952704568943346,0.00013257355971822037,0.9952704568943346,0.9955000810355068,0.0002296241411722244,0.00013319330841205673,low,Low variability - metric might not be discriminative,,,
arecho_audiobox_aesthetics_CE,aesthetics,3,5.841328894437716,5.7922153942077514,0.26122847067381033,5.608143114181886,6.1236281749235095,0.5154850607416233,0.044720726292703655,low,Low variability - metric might not be discriminative,,,
arecho_audiobox_aesthetics_CU,aesthetics,3,6.359957615853633,6.368058132838054,0.23267729853121882,6.123335838317871,6.588478876404973,0.4651430380871018,0.036584724708104664,low,Low variability - metric might not be discriminative,,,
arecho_audiobox_aesthetics_PC,aesthetics,3,1.5121439637908016,1.4999457913708973,0.050446667387032004,1.4689148664474487,1.5675712335540588,0.09865636710661008,0.03336102156607298,low,Low variability - metric might not be discriminative,,,
arecho_audiobox_aesthetics_PQ,aesthetics,3,6.712135443885324,6.929026434220466,0.5823553003341672,6.052458219260097,7.15492167817541,1.102463458915313,0.08676155378608844,low,Low variability - metric might not be discriminative,,,
arecho_cer,asr_wer_cer,3,0.044444444444444446,0.0,0.0769800358919501,0.0,0.13333333333333333,0.13333333333333333,1.7320508075688772,high,High variability - good discriminative power,False,0.0,0.13333333333333333
arecho_ci_sdr,speech_enhancement,3,14.934139314265932,15.463956423073887,1.2818835914168913,13.472277997487996,15.866183522235916,2.39390552474792,0.08583578634440378,low,Low variability - metric might not be discriminative,True,15.866183522235916,13.472277997487996
arecho_dns_overall,audio_quality,3,3.0864716503049,3.184670188940733,0.30595764742756865,2.7434712627911653,3.3312734991828026,0.5878022363916373,0.09912861094879791,low,Low variability - metric might not be discriminative,,,
arecho_dns_p808,audio_quality,3,3.4222854696603187,3.6433748629198495,0.460563241585709,2.8928635718832054,3.7306179741779006,0.8377544022946952,0.13457768081264784,moderate,Moderate variability - reasonable discriminative power,,,
arecho_emotion_similarity,similarity,3,0.9975494411256578,0.9978926423563057,0.0015900530070336958,0.9958158135414124,0.9989398674792555,0.0031240539378430965,0.0015939590976457702,low,Low variability - metric might not be discriminative,True,0.9989398674792555,0.9958158135414124
arecho_f0corr,pitch_f0,3,0.766706540285322,0.8801188296191945,0.2633927712173997,0.4656052414098399,0.9543955498269318,0.48879030841709187,0.3435379214573815,moderate,Moderate variability - reasonable discriminative power,True,0.9543955498269318,0.4656052414098399
arecho_f0rmse,pitch_f0,3,72.0736574648122,64.35349179902413,17.52611629324153,59.73299852784223,92.13448206757025,32.40148353972802,0.24316951449006358,moderate,Moderate variability - reasonable discriminative power,False,59.73299852784223,92.13448206757025
arecho_mcd,pitch_f0,3,8.934115119325293,5.269870411967503,6.859979416118268,4.684354488844047,16.848120457164327,12.16376596832028,0.7678409472561548,high,High variability - good discriminative power,False,4.684354488844047,16.848120457164327
arecho_nisqa_col_pred,nisqa_components,3,3.808848941022932,3.820105288402144,0.21039432688013301,3.5930523972913444,4.013389137375307,0.4203367400839624,0.055238296434940264,low,Low variability - metric might not be discriminative,True,4.013389137375307,3.5930523972913444
arecho_nisqa_dis_pred,nisqa_components,3,4.300700404079085,4.291552250643811,0.14889510939671316,4.156590295125203,4.453958666468241,0.29736837134303773,0.034621130375761734,low,Low variability - metric might not be discriminative,True,4.453958666468241,4.156590295125203
arecho_nisqa_loud_pred,nisqa_components,3,4.0427358086648555,4.049413418674086,0.2123941418950323,3.8270816046550094,4.251712402665472,0.42463079801046266,0.0525372302191513,low,Low variability - metric might not be discriminative,True,4.251712402665472,3.8270816046550094
arecho_nisqa_mos_pred,audio_quality,3,3.75130651977008,3.9928353503047225,0.5874193663394761,3.0816255534987853,4.179458655506732,1.0978331020079466,0.156590607364039,moderate,Moderate variability - reasonable discriminative power,True,4.179458655506732,3.0816255534987853
arecho_nisqa_noi_pred,nisqa_components,3,3.9531117530871267,4.021851526206755,0.21335297227878683,3.713862332474276,4.123621400580348,0.40975906810607254,0.053970893211448386,low,Low variability - metric might not be discriminative,True,4.123621400580348,3.713862332474276
arecho_nisqa_real_mos,audio_quality,3,4.6,5.0,0.692820323027551,3.8,5.0,1.2000000000000002,0.15061311370164154,moderate,Moderate variability - reasonable discriminative power,True,5.0,3.8
arecho_nomad,security,3,0.789771022635352,0.7718731296309755,0.031000060032011608,0.7718731296309755,0.8255668086441049,0.05369367901312938,0.03925195929393418,low,Low variability - metric might not be discriminative,,,
arecho_noresqa_score,audio_quality,3,1.9333487445890025,2.1519549869629273,0.688352924458902,1.162238830064674,2.4858524167394065,1.3236135866747325,0.3560417779696721,moderate,Moderate variability - reasonable discriminative power,,,
arecho_pam_score,psychoacoustic,3,0.3535267114639282,0.3535267114639282,0.0,0.3535267114639282,0.3535267114639282,0.0,0.0,low,Low variability - metric might not be discriminative,,,
arecho_pesq,speech_enhancement,3,2.508801481969544,2.5722464672532883,0.24952516604014266,2.233678375382021,2.720479603273323,0.4868012278913021,0.099459908579236,low,Low variability - metric might not be discriminative,True,2.720479603273323,2.233678375382021
arecho_plcmos,audio_quality,3,2.5925764573785353,2.560972715636972,0.4532361429865872,2.155969327520654,3.0607873289779803,0.9048180014573264,0.1748207431632985,moderate,Moderate variability - reasonable discriminative power,True,3.0607873289779803,2.155969327520654
arecho_pysepm_c_bak,psychoacoustic,3,3.2034202504570906,3.5456917689733323,0.6451748239135474,2.4592328276281217,3.6053361547698177,1.146103327141696,0.2014018684627746,moderate,Moderate variability - reasonable discriminative power,,,
arecho_pysepm_c_ovl,psychoacoustic,3,2.4000025378180676,2.886714891963719,1.2310554376565315,1.0,3.3132927214904844,2.3132927214904844,0.5129392232958763,high,High variability - good discriminative power,,,
arecho_pysepm_c_sig,psychoacoustic,3,2.476887560797744,2.687424854084943,1.383684541202914,1.0,3.7432378283082883,2.7432378283082883,0.5586384150426528,high,High variability - good discriminative power,,,
arecho_pysepm_cd,psychoacoustic,3,6.202896688821284,5.547669727502528,3.5155869299743334,3.061020338961325,10.0,6.938979661038675,0.5667653527601132,high,High variability - good discriminative power,,,
arecho_pysepm_csii_high,psychoacoustic,3,0.9597044100513364,0.9636459735151713,0.04240398704067341,0.915467256638838,1.0,0.08453274336116201,0.0441844244921258,low,Low variability - metric might not be discriminative,,,
arecho_pysepm_csii_low,psychoacoustic,3,0.7824457743310608,0.7957380888498229,0.1740920700727939,0.6020885505178147,0.9495106836255447,0.34742213310772996,0.22249729730041812,moderate,Moderate variability - reasonable discriminative power,,,
